"Année.RAP";"Type.de.Budget..Hors.Budgets.annexes.";"Code.Ministère.au.1er.janvier.2017";"Ministère.au.1er.janvier.2017";"Programme";"Libellé.programme";"Code.Action";"Action";"T1.EXEC.CP.2017";"T2.EXEC.CP.2017";"T3.EXEC.CP.2017";"T4.EXEC.CP.2017";"T5.EXEC.CP.2017";"T6.EXEC.CP.2017";"T7.EXEC.CP.2017"
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"3";"Prévention et gestion des risques sanitaires liés aux denrées alimentaires";"";"";"13311793";"";"10445";"9422828";""
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"4";"Actions transversales";"";"";"67938291";"";"2683219";"2928747";"1000000"
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"5";"Elimination des cadavres et des sous-produits animaux";"";"";"2600240";"";"";"";""
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"6";"Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation";"";"312455219";"935289";"";"";"33976";""
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"8";"Qualité de l'alimentation et offre alimentaire";"";"";"1089159";"";"";"2997301";""
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"215";"Conduite et pilotage des politiques de l'agriculture";"1";"Moyens de l'administration centrale";"";"163136085";"38174438";"";"138138";"1456739";""
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"215";"Conduite et pilotage des politiques de l'agriculture";"2";"Évaluation de l'impact des politiques publiques et information économique";"";"12413446";"4188942";"";"";"310899";""
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"215";"Conduite et pilotage des politiques de l'agriculture";"3";"Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer)";"";"353787960";"13748123";"";"498545";"155467";""
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"215";"Conduite et pilotage des politiques de l'agriculture";"4";"Moyens communs";"";"38616672";"22297139";"";"3748434";"468850";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"1";"Enseignement pré-élémentaire";"";"431209729";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"2";"Enseignement élémentaire";"";"1246419757";"200";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"3";"Enseignement en collège";"";"2010331705";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"4";"Enseignement général et technologique en lycée";"";"1522193069";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"5";"Enseignement professionnel sous statut scolaire";"";"686458350";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"6";"Enseignement post-baccalauréat en lycée";"";"160782909";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"7";"Dispositifs spécifiques de scolarisation";"";"167732301";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"8";"Actions sociales en faveur des élèves";"";"";"0";"";"";"70464716";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"9";"Fonctionnement des établissements";"";"253";"22572";"";"";"678527431";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"10";"Formation initiale et continue des enseignants";"";"92864325";"";"";"";"37152121";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"11";"Remplacement";"";"162207093";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"12";"Soutien";"";"207703120";"3076844";"";"";"3817";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"1";"Enseignement pré-élémentaire";"";"5442071017";"427839";"";"";"243466";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"2";"Enseignement élémentaire";"";"10763559103";"5463038";"";"";"9142549";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"3";"Besoins éducatifs particuliers";"";"1572220410";"3370938";"";"";"78259";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"4";"Formation des personnels enseignants";"";"765868834";"11104352";"";"";"293094";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"5";"Remplacement";"";"1696443072";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"6";"Pilotage et encadrement pédagogique";"";"1195115722";"6603369";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"7";"Personnels en situations diverses";"";"101747663";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"1";"Enseignement en collège";"";"11453976871";"10292296";"";"";"115910701";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"2";"Enseignement général et technologique en lycée";"";"8810800645";"5059439";"";"";"13239572";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"3";"Enseignement professionnel sous statut scolaire";"";"3873878370";"1747017";"";"";"7216873";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"4";"Apprentissage";"";"5673085";"39110";"";"";"389930";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"5";"Enseignement post-baccalauréat en lycée";"";"1151933852";"91785";"";"";"696747";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"6";"Besoins éducatifs particuliers";"";"876189138";"326164";"";"";"2447579";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"7";"Aide à l'insertion professionnelle";"";"43671536";"210336";"";"";"3224069";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"8";"Information et orientation";"";"275939437";"1691284";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"9";"Formation continue des adultes et validation des acquis de l'expérience";"";"82035615";"239860";"";"";"1685474";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"10";"Formation des personnels enseignants et d'orientation";"";"563401294";"18736118";"";"";"526848";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"11";"Remplacement";"";"1312649367";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"12";"Pilotage, administration et encadrement pédagogique";"";"3623605102";"6490184";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"13";"Personnels en situations diverses";"";"172301805";"";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"1";"Formation initiale et continue du baccalauréat à la licence";"";"49039829";"3042273434";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"2";"Formation initiale et continue de niveau master";"";"100135813";"2374707588";"";"";"900650";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"3";"Formation initiale et continue de niveau doctorat";"";"10748366";"348148659";"";"";"5431861";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"4";"Établissements d'enseignement privés";"";"";"";"";"";"76685504";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"5";"Bibliothèques et documentation";"";"38175842";"416017000";"";"";"2068240";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"13";"Diffusion des savoirs et musées";"";"30267525";"90828365";"";"";"487620";"276000"
