GESTION;2016;;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;;
;;;;;;;;;;;;;;
CP;;;;;;TITRE;;;;;;;;
Année RAP;Type de Budget (Hors Budgets annexes);Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017;Code Programme;Programme;Code Action;Action;T1 EXEC CP 2017;T2 EXEC CP 2017;T3 EXEC CP 2017;T4 EXEC CP 2017;T5 EXEC CP 2017;T6 EXEC CP 2017;T7 EXEC CP 2017
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;24;Gestion équilibrée et durable des territoires;;;2 076 376;;232 911;635 856 005;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;25;Protection sociale;;;340 952;;;988 132 206;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;26;Gestion durable de la forêt et développement de la filière bois;;;189 323 200;;1 329 149;50 644 974;0
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;27;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;;;979 328 784;;;3 631 842;10 431 490
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;1;Prévention et gestion des risques inhérents à la production végétale;;;9 876 160;;201 775;17 300 988;0
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;2;Lutte contre les maladies animales et protection des animaux;;;116 128 494;;244 056;64 342 511;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;3;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;;;13 311 793;;10 445;9 422 828;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;4;Actions transversales;;;67 938 291;;2 683 219;2 928 747;1 000 000
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;5;Elimination des cadavres et des sous-produits animaux;;;2 600 240;;;;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;6;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;;312 455 219;935 289;;;33 976;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;8;Qualité de l'alimentation et offre alimentaire;;;1 089 159;;;2 997 301;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;1;Moyens de l'administration centrale;;163 136 085;38 174 438;;138 138;1 456 739;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;2;Évaluation de l'impact des politiques publiques et information économique;;12 413 446;4 188 942;;;310 899;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;3;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);;353 787 960;13 748 123;;498 545;155 467;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;215;Conduite et pilotage des politiques de l'agriculture;4;Moyens communs;;38 616 672;22 297 139;;3 748 434;468 850;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;1;Enseignement pré-élémentaire;;431 209 729;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;2;Enseignement élémentaire;;1 246 419 757;200;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;3;Enseignement en collège;;2 010 331 705;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;4;Enseignement général et technologique en lycée;;1 522 193 069;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;5;Enseignement professionnel sous statut scolaire;;686 458 350;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;6;Enseignement post-baccalauréat en lycée;;160 782 909;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;7;Dispositifs spécifiques de scolarisation;;167 732 301;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;8;Actions sociales en faveur des élèves;;;0;;;70 464 716;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;9;Fonctionnement des établissements;;253;22 572;;;678 527 431;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;10;Formation initiale et continue des enseignants;;92 864 325;;;;37 152 121;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;11;Remplacement;;162 207 093;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;139;Enseignement privé du premier et du second degrés;12;Soutien;;207 703 120;3 076 844;;;3 817;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;1;Enseignement pré-élémentaire;;5 442 071 017;427 839;;;243 466;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;2;Enseignement élémentaire;;10 763 559 103;5 463 038;;;9 142 549;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;3;Besoins éducatifs particuliers;;1 572 220 410;3 370 938;;;78 259;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;4;Formation des personnels enseignants;;765 868 834;11 104 352;;;293 094;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;5;Remplacement;;1 696 443 072;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;6;Pilotage et encadrement pédagogique;;1 195 115 722;6 603 369;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;140;Enseignement scolaire public du premier degré;7;Personnels en situations diverses;;101 747 663;;;;;
