GESTION;2014;;;;;;;;;;;
Type budget;All;;;;;;;;;;;
;;;;;;;;;;;;
CP;;;;;TITRE;;;;;;;
Mission;Programme;Libellé programme;Action;Libellé action;T1;T2;T3;T4;T5;T6;T7;Total général
Prêts à des États étrangers;854;Prêts aux États membres de l'Union européenne dont la monnaie est l'euro;01;Soutien financier aux États membres de l’Union européenne dont la monnaie est l’euro;;;;;;;0;0
Prêts et avances à des particuliers ou à des organismes privés;861;Prêts et avances pour le logement des agents de l'État;02;Avances aux agents de l'État pour l'amélioration de l'habitat;;;;;;;0;0
Prêts et avances à des particuliers ou à des organismes privés;861;Prêts et avances pour le logement des agents de l'État;04;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;;;;;;;361 146;361 146
Prêts et avances à des particuliers ou à des organismes privés;862;Prêts pour le développement économique et social;01;Prêts pour le développement économique et social;;;;;;;114 500 000;114 500 000
Prêts et avances à des particuliers ou à des organismes privés;863;Prêts à la filière automobile;02;Prêts pour le soutien à l'innovation de la filière automobile;;;;;;;2 250 000;2 250 000
Prêts et avances à des particuliers ou à des organismes privés;863;Prêts à la filière automobile;03;Fonds de soutien à la filière automobile;;;;;;;0;0
Prêts et avances à des particuliers ou à des organismes privés;866;Prêts aux petites et moyennes entreprises;01;Prêts verts;;;;;;;340 000 000;340 000 000
Prêts et avances à des particuliers ou à des organismes privés;866;Prêts aux petites et moyennes entreprises;02;Prêts à l'industrialisation;;;;;;;270 000 000;270 000 000
Prêts et avances à des particuliers ou à des organismes privés;866;Prêts aux petites et moyennes entreprises;03;Prêts à la robotisation;;;;;;;300 000 000;300 000 000
Prêts et avances à des particuliers ou à des organismes privés;866;Prêts aux petites et moyennes entreprises;04;Prêts aux usages et technologies du numérique;;;;;;;50 000 000;50 000 000
Prêts et avances à des particuliers ou à des organismes privés;866;Prêts aux petites et moyennes entreprises;05;Prêts aux projets territoriaux intégrés pour la transition énergétique;;;;;;;40 000 000;40 000 000
Provisions;551;Provision relative aux rémunérations publiques;01;Provision relative aux rémunérations publiques;;0;;;;;;0
Provisions;552;Dépenses accidentelles et imprévisibles;01;Dépenses accidentelles et imprévisibles;;;0;;;;;0
Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;193 315 291;39 938 715;;;38 847 647;10 312 714;282 414 367
Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;02;Recherche, développement et transfert de technologie;;1 471 690;27 215 336;;;4 818 676;;33 505 702
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;01;Formation initiale et continue du baccalauréat à la licence;;42 532 583;2 834 391 777;;0;0;;2 876 924 360
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;02;Formation initiale et continue de niveau master;;133 676 059;2 221 499 124;;;1 593 706;;2 356 768 889
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;03;Formation initiale et continue de niveau doctorat;;10 898 678;338 639 394;;;5 597 968;;355 136 040
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;04;Établissements d'enseignement privés;;0;;;;74 044 130;;74 044 130
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;05;Bibliothèques et documentation;;38 782 152;402 317 772;;;2 828 742;;443 928 666
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;06;Recherche universitaire en sciences de la vie, biotechnologies et santé;;26 320 435;748 981 483;;;31 400;;775 333 318
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;07;Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies;;10 830 870;352 690 045;;;;;363 520 915
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;08;Recherche universitaire en physique, chimie et sciences pour l'ingénieur;;34 454 431;493 945 521;;;418 618;;528 818 570
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;09;Recherche universitaire en physique nucléaire et des hautes énergies;;0;12 277 286;;;;;12 277 286
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;10;Recherche universitaire en sciences de la terre, de l'univers et de l'environnement;;36 675 346;133 879 703;;;;;170 555 049
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;11;Recherche universitaire en sciences de l'homme et de la société;;10 126 094;962 955 347;;;0;;973 081 441
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;12;Recherche universitaire interdisciplinaire et transversale;;2 146 857;912 853 753;;;361 453;;915 362 063
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;13;Diffusion des savoirs et musées;;28 244 519;79 868 114;;;464 793;;108 577 426
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;14;Immobilier;;42 007 364;912 736 431;;82 551 387;3 559 250;221 124 842;1 261 979 274
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;15;Pilotage et support du programme;;153 811 506;1 355 370 194;;61 598;17 912 453;;1 527 155 751
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;01;Pilotage et animation;;;34 843 797;;;94 313 130;6 581 865;135 738 792
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;02;Agence nationale de la recherche;;;28 787 401;;;419 570 258;;448 357 659
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;05;Recherches scientifiques et technologiques en sciences de la vie, biotechnologies et santé;;;1 092 561 026;;;100 614 727;;1 193 175 753
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;06;Recherches scientifiques et technologiques en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies;;;508 652 000;;;540 330;;509 192 330
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;07;Recherches scientifiques et technologiques en physique, chimie et sciences pour l'ingénieur;;;553 764 076;;;85 770 000;;639 534 076
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;08;Recherches scientifiques et technologiques en physique nucléaire et des hautes énergies;;;215 740 520;;;138 410 631;;354 151 151
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;09;Recherches scientifiques et technologiques en sciences de la terre, de l'univers et de l'environnement;;;269 670 229;;;33 462 296;;303 132 525
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;10;Recherches scientifiques en sciences de l'homme et de la société;;;312 588 338;;;1 167 034;;313 755 372
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;11;Recherches interdisciplinaires et transversales;;;54 523 499;;;;;54 523 499
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;12;Diffusion, valorisation et transfert des connaissances et des technologies;;;76 429 380;;;;;76 429 380
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;13;Grandes infrastructures de recherche;;;220 917 164;;;14 951 000;;235 868 164
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;14;Moyens généraux et d'appui à la recherche;;;456 057 299;;;;;456 057 299
Recherche et enseignement supérieur;186;Recherche culturelle et culture scientifique;01;Recherche culturelle;;;3 572 363;;809 370;4 442 566;0;8 824 299
Recherche et enseignement supérieur;186;Recherche culturelle et culture scientifique;03;Culture scientifique et technique;;;95 024 989;;0;0;6 706 736;101 731 725
Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;01;Recherches scientifiques et technologiques sur les ressources, les milieux et leur biodiversité;;;280 787 878;;;;;280 787 878
Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;02;Recherches scientifiques et technologiques sur les systèmes de production et de transformation associés;;;281 549 411;;;;;281 549 411
Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;03;Recherches scientifiques et technologiques sur les systèmes socio-économiques associés;;;89 771 033;;;;;89 771 033
Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;04;Recherches scientifiques et technologiques sur l'alimentation, ses produits et leurs effets sur le bien-être;;;73 719 212;;;;;73 719 212
Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;05;Recherches scientifiques et technologiques pour la sécurité alimentaire, sanitaire, environnementale et sur les risques naturels;;;173 920 407;;;;;173 920 407
Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;06;Diffusion, valorisation et transfert des connaissances et des technologies;;;73 616 464;;;;;73 616 464
Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;07;Grandes infrastructures de recherche;;;49 954 287;;;;;49 954 287
Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;08;Moyens généraux et d'appui à la recherche;;;237 759 219;;;;;237 759 219
Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;10;Recherche dans le domaine de l'énergie;;;645 083 417;;;556 804;;645 640 221
Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;11;Recherche dans le domaine des risques;;;182 909 982;;;;;182 909 982
Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;12;Recherche dans le domaine des transports, de la construction et de l'aménagement;;;85 810 428;;;15 256 213;4 857 134;105 923 775
Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;13;Recherche partenariale dans le développement et l'aménagement durable;;;-156 974 830;;;6 593 306;;-150 381 524
Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;14;Recherche et développement dans le domaine de l'aéronautique civile;;;;;;249 158 833;265 983 029;515 141 862
Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;15;Charges nucléaires de long terme des installations du CEA;;;309 000 000;;;;;309 000 000
Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);01;Recherche duale en sciences du vivant;;;3 800 000;;;;;3 800 000
Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);02;Recherche duale en sciences et techniques de l'information et de la communication;;;2 318 031;;;0;;2 318 031
Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);03;Recherche duale dans le domaine aérospatial;;;;;;;49 256 714;49 256 714
